risk_id;cve_id;description;cvss_score;ports;protocols;ip_ranges;source;last_updated
R181;;Reported abusive IP;10.0;;;45.33.83.115;AbuseIPDB;03/03/2025
R182;;Reported abusive IP;10.0;;;64.62.197.173;AbuseIPDB;03/03/2025
R183;;Reported abusive IP;10.0;;;216.218.206.75;AbuseIPDB;03/03/2025
R184;;Reported abusive IP;10.0;;;220.135.27.15;AbuseIPDB;03/03/2025
R185;;Reported abusive IP;10.0;;;47.237.79.94;AbuseIPDB;03/03/2025
R186;;Reported abusive IP;10.0;;;37.115.73.45;AbuseIPDB;03/03/2025
R187;;Reported abusive IP;10.0;;;146.190.22.40;AbuseIPDB;03/03/2025
R188;;Reported abusive IP;10.0;;;167.172.89.248;AbuseIPDB;03/03/2025
R189;;Reported abusive IP;10.0;;;125.25.203.11;AbuseIPDB;03/03/2025
R190;;Reported abusive IP;10.0;;;193.163.125.47;AbuseIPDB;03/03/2025
R191;;Reported abusive IP;10.0;;;47.250.53.100;AbuseIPDB;03/03/2025
R192;;Reported abusive IP;10.0;;;146.190.50.226;AbuseIPDB;03/03/2025
R193;;Reported abusive IP;10.0;;;116.49.147.59;AbuseIPDB;03/03/2025
R194;;Reported abusive IP;10.0;;;193.3.53.3;AbuseIPDB;03/03/2025
R195;;Reported abusive IP;10.0;;;65.49.1.46;AbuseIPDB;03/03/2025
R196;;Reported abusive IP;10.0;;;77.60.231.50;AbuseIPDB;03/03/2025
R197;;Reported abusive IP;10.0;;;74.207.226.71;AbuseIPDB;03/03/2025
R198;;Reported abusive IP;10.0;;;65.49.1.141;AbuseIPDB;03/03/2025
R199;;Reported abusive IP;10.0;;;114.219.46.222;AbuseIPDB;03/03/2025
R200;;Reported abusive IP;10.0;;;184.105.247.248;AbuseIPDB;03/03/2025
R201;;Reported abusive IP;10.0;;;91.196.152.89;AbuseIPDB;03/03/2025
R202;;Reported abusive IP;10.0;;;64.62.197.190;AbuseIPDB;03/03/2025
R203;;Reported abusive IP;10.0;;;199.45.154.177;AbuseIPDB;03/03/2025
R204;;Reported abusive IP;10.0;;;193.163.125.200;AbuseIPDB;03/03/2025
R205;;Reported abusive IP;10.0;;;184.105.247.207;AbuseIPDB;03/03/2025
R206;;Reported abusive IP;10.0;;;192.72.18.161;AbuseIPDB;03/03/2025
R207;;Reported abusive IP;10.0;;;103.203.59.8;AbuseIPDB;03/03/2025
R208;;Reported abusive IP;10.0;;;198.58.105.164;AbuseIPDB;03/03/2025
R209;;Reported abusive IP;10.0;;;178.117.243.87;AbuseIPDB;03/03/2025
R210;;Reported abusive IP;10.0;;;114.33.112.54;AbuseIPDB;03/03/2025
R211;;Reported abusive IP;10.0;;;65.49.1.142;AbuseIPDB;03/03/2025
R212;;Reported abusive IP;10.0;;;64.62.156.34;AbuseIPDB;03/03/2025
R213;;Reported abusive IP;10.0;;;45.156.129.107;AbuseIPDB;03/03/2025
R214;;Reported abusive IP;10.0;;;193.32.162.132;AbuseIPDB;03/03/2025
R215;;Reported abusive IP;10.0;;;216.218.10.82;AbuseIPDB;03/03/2025
R216;;Reported abusive IP;10.0;;;129.80.201.180;AbuseIPDB;03/03/2025
R217;;Reported abusive IP;10.0;;;65.49.1.107;AbuseIPDB;03/03/2025
R218;;Reported abusive IP;10.0;;;193.163.125.205;AbuseIPDB;03/03/2025
R219;;Reported abusive IP;10.0;;;138.68.47.83;AbuseIPDB;03/03/2025
R220;;Reported abusive IP;10.0;;;183.236.13.2;AbuseIPDB;03/03/2025
R221;;Reported abusive IP;10.0;;;154.212.141.253;AbuseIPDB;03/03/2025
R222;;Reported abusive IP;10.0;;;101.36.119.146;AbuseIPDB;03/03/2025
R223;;Reported abusive IP;10.0;;;45.156.129.136;AbuseIPDB;03/03/2025
R224;;Reported abusive IP;10.0;;;92.63.197.210;AbuseIPDB;03/03/2025
R225;;Reported abusive IP;10.0;;;47.237.76.193;AbuseIPDB;03/03/2025
R226;;Reported abusive IP;10.0;;;64.62.197.20;AbuseIPDB;03/03/2025
R227;;Reported abusive IP;10.0;;;206.168.34.130;AbuseIPDB;03/03/2025
R228;;Reported abusive IP;10.0;;;36.228.99.84;AbuseIPDB;03/03/2025
R229;;Reported abusive IP;10.0;;;193.163.125.54;AbuseIPDB;03/03/2025
R230;;Reported abusive IP;10.0;;;74.82.47.51;AbuseIPDB;03/03/2025
R231;;Reported abusive IP;10.0;;;51.158.205.47;AbuseIPDB;03/03/2025
R232;;Reported abusive IP;10.0;;;193.163.125.40;AbuseIPDB;03/03/2025
R233;;Reported abusive IP;10.0;;;121.129.12.130;AbuseIPDB;03/03/2025
R234;;Reported abusive IP;10.0;;;50.116.9.208;AbuseIPDB;03/03/2025
R235;;Reported abusive IP;10.0;;;117.80.234.157;AbuseIPDB;03/03/2025
R236;;Reported abusive IP;10.0;;;77.37.246.239;AbuseIPDB;03/03/2025
R237;;Reported abusive IP;10.0;;;173.255.223.49;AbuseIPDB;03/03/2025
R238;;Reported abusive IP;10.0;;;182.70.125.62;AbuseIPDB;03/03/2025
R239;;Reported abusive IP;10.0;;;49.124.152.242;AbuseIPDB;03/03/2025
R240;;Reported abusive IP;10.0;;;137.184.105.192;AbuseIPDB;03/03/2025
R241;;Reported abusive IP;10.0;;;45.79.109.4;AbuseIPDB;03/03/2025
R242;;Reported abusive IP;10.0;;;65.49.20.126;AbuseIPDB;03/03/2025
R243;;Reported abusive IP;10.0;;;181.49.117.21;AbuseIPDB;03/03/2025
R244;;Reported abusive IP;10.0;;;206.168.34.175;AbuseIPDB;03/03/2025
R245;;Reported abusive IP;10.0;;;45.79.109.130;AbuseIPDB;03/03/2025
R246;;Reported abusive IP;10.0;;;193.163.125.45;AbuseIPDB;03/03/2025
R247;;Reported abusive IP;10.0;;;47.251.92.56;AbuseIPDB;03/03/2025
R248;;Reported abusive IP;10.0;;;87.121.84.93;AbuseIPDB;03/03/2025
R249;;Reported abusive IP;10.0;;;8.219.252.228;AbuseIPDB;03/03/2025
R250;;Reported abusive IP;10.0;;;143.42.1.71;AbuseIPDB;03/03/2025
R251;;Reported abusive IP;10.0;;;172.203.233.50;AbuseIPDB;03/03/2025
R252;;Reported abusive IP;10.0;;;218.161.83.188;AbuseIPDB;03/03/2025
R253;;Reported abusive IP;10.0;;;140.249.22.154;AbuseIPDB;03/03/2025
R254;;Reported abusive IP;10.0;;;45.33.42.25;AbuseIPDB;03/03/2025
R255;;Reported abusive IP;10.0;;;45.33.20.59;AbuseIPDB;03/03/2025
R256;;Reported abusive IP;10.0;;;143.42.0.97;AbuseIPDB;03/03/2025
R257;;Reported abusive IP;10.0;;;120.224.55.8;AbuseIPDB;03/03/2025
R258;;Reported abusive IP;10.0;;;64.62.156.45;AbuseIPDB;03/03/2025
R259;;Reported abusive IP;10.0;;;95.160.28.219;AbuseIPDB;03/03/2025
R260;;Reported abusive IP;10.0;;;139.162.77.6;AbuseIPDB;03/03/2025
R261;;Reported abusive IP;10.0;;;20.65.194.58;AbuseIPDB;03/03/2025
R262;;Reported abusive IP;10.0;;;218.92.0.252;AbuseIPDB;03/03/2025
R263;;Reported abusive IP;10.0;;;51.81.144.43;AbuseIPDB;03/03/2025
R264;;Reported abusive IP;10.0;;;94.159.134.151;AbuseIPDB;03/03/2025
R265;;Reported abusive IP;10.0;;;47.74.53.212;AbuseIPDB;03/03/2025
R266;;Reported abusive IP;10.0;;;220.135.41.133;AbuseIPDB;03/03/2025
R267;;Reported abusive IP;10.0;;;121.166.126.241;AbuseIPDB;03/03/2025
R268;;Reported abusive IP;10.0;;;47.74.59.63;AbuseIPDB;03/03/2025
R269;;Reported abusive IP;10.0;;;122.117.135.153;AbuseIPDB;03/03/2025
R270;;Reported abusive IP;10.0;;;74.207.240.49;AbuseIPDB;03/03/2025
R271;;Reported abusive IP;10.0;;;143.42.1.53;AbuseIPDB;03/03/2025
R272;;Reported abusive IP;10.0;;;15.204.37.31;AbuseIPDB;03/03/2025
R273;;Reported abusive IP;10.0;;;121.149.177.94;AbuseIPDB;03/03/2025
R274;;Reported abusive IP;10.0;;;50.116.53.183;AbuseIPDB;03/03/2025
